Business LIcense,Violation Date,Violation,Inspector Comments
15FOOD-0016,01/17/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Eggs are stored above ready to eat food items. Move eggs to store below ready to eat foods in order to prevent cross contamination.
09FOOD-0424,01/19/2017,"(25) FOOD EQUIPMENT AND UTENSILS: Single-service articles: storage, dispensing.",Plastic knives and spoons are being stored improperly. Store with the handles all facing the same way to minimize hand contact.
12FOOD-0034,01/20/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Coolers do not have thermometers. Provide a thermometer to monitor the temperature.
12FOOD-0034,01/20/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The side of the fryer is soiled. Routinely clean all surfaces. The ice scoop holder near the take out window is soiled. Routinely clean all surfaces.
12FOOD-0034,01/20/2017,"(29) PLUMBING: Installed, maintained",The overflow line on the 3-compartment sink is not properly installed causing water to spill on to the floor. Reattach the plumbing line.
08FOOD-0175,01/20/2017,(4) FOOD PROTECTION: Facilities to maintain product temperature.,CRITICAL VIOLATION. The milk and cream dispenser is not working properly. The manager has agreed to stop using it until it has been serviced and will only use the other working dispenser.
08FOOD-0175,01/20/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The top of the hash brown hot hold is soiled. Routinely clean all surfaces.
08FOOD-0175,01/20/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Milk and cream in the dispenser is being held at 49 F. The products were discarded.
08FOOD-0175,01/20/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",A container of orange juice is being stored submerged in the ice machine. The bottle has been removed.
12FOOD-0034,01/20/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",Tape is holding a device on the chicken hot hold station that is in disrepair and collecting food debris. Remove the tape.
09FOOD-0202,01/23/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Drywall is exposed on the wall near the mop sink and 3-compartment sink. Install a corner bead.
09FOOD-0202,01/23/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor in the walk in freezer is soiled. Routinely clean all floors.
16FOOD-0001,01/23/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wipe cloths are being stored on prep surfaces. Store all wipe cloths in a sanitizer bucket when not in use.
08FOOD-0177,01/24/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Various walls in the basement and kitchen are soiled and also in need of repair. Clean and patch the damaged walls.
08FOOD-0177,01/24/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The sides of the cooking equipment are soiled. Routinely clean all surfaces.
09FOOD-0215,01/24/2017,(2) FOOD: Original Container; properly labeled.,Items |  such as salt |  sugar and flour |  we're not labeled properly. Provide an accurate label for each of these items.
09FOOD-0215,01/24/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Shelves in the dry storage closet are soiled. Clean.
15FOOD-0045,01/24/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Raw chicken is being stored above cooked food. Store the raw food below cooked food to avoid cross contamination.
15FOOD-0027,01/24/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The wall and baseboard in the walk in cooler near the door are not securely fastened. Refasten the panels.
09FOOD-0215,01/24/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floors are soiled in dry food storage closet. Clean.
15FOOD-0027,01/24/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,There is no thermometer in the small dressing cooler. Provide a thermometer to monitor the temperature.
15FOOD-0045,01/24/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",There is a gap between the mop sink and the wall. Fill the gap with caulk.
08FOOD-0177,01/24/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor under the cook line equipment is soiled. Routinely clean all floors. The baseboard behind the ice machine is in disrepair. Repair the damage.
09FOOD-0215,01/24/2017,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",Cutting board contains cuts and stains. Sand the board or replace.
09FOOD-0215,01/24/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Soiled wiping cloths were sitting on counters. Store wiping cloths in a sanitizer solution between use.
15FOOD-0027,01/24/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor between and behind the washer and dryer or soiled. Routinely clean all floors. There is no cover for the floor drain in the laundry room. Provide a cover.
15FOOD-0020,01/25/2017,(6) FOOD PROTECTION: Potentially hazardous food properly thawed.,Food is being improperly stored in standing water and sitting out. Thaw food under running water or in a cooler.
15FOOD-0020,01/25/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor under all counters and equipment in the kitchen is soiled. The floor under the dry storage shelving is soiled. The floor under the wait staff counters is soiled. Routinely clean all floors.
15FOOD-0020,01/25/2017,(4) FOOD PROTECTION: Facilities to maintain product temperature.,CRITICAL VIOLATION. The cooler top is not cold enough due to the airflow on the bottom being blocked by too much product. Do not overfill the cooler in order to allow the airflow to properly cool all areas. Product was placed in other coolers.
15FOOD-0020,01/25/2017,(43) OTHER OPERATIONS: Complete separation from living and sleeping quarters; laundry.,Couches are placed among food storage in the basement for breaks. Designate an area for employee breaks that is away from food storage.
15FOOD-0020,01/25/2017,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,The ice scoop by the front desk is being stored with the handle in contact with the ice. Store the scoop in a separate container or with the handle sticking out of the ice. Rice scoops are being stored in standing water at room temperature. Store the scoops in the product with the handle sticking up |  in water below 41 F or above 135 F.
15FOOD-0020,01/25/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. The cooler top in the kitchen is holding potentially hazardous food above 41 F.  The chicken |  tofu |  and rice were discarded.
09FOOD-0032,01/27/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Prep cooler holding meats and cheese is holding food between 42F and 46F. Have cooler temperature adjusted to hold food at 41F or below. Time can be used for temperature control until cooler is serviced. A reinspection will be conducted within 10 days.
09FOOD-0032,01/27/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Hand wash sink is missing paper towels. Provide paper towels immediately for proper hand washing.
09FOOD-0032,01/27/2017,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION. Front hand wash sink does not work. A part has been ordered to repair the sink. Have hand wash sink repaired as soon as possible. Use the kitchen hand wash sink until it is repaired.
15FOOD-0021,01/27/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Eggs are being stored above ready to eat food. Store the eggs on the bottom shelf.
13FOOD-0014,01/30/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The Floor under soda syrup holder in back is soiled. Routinely clean the floor.
12FOOD-0016,01/31/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",There are no paper towels at the prep hand sink. There is no hand soap at the bathroom sink. Maintain a supply of soap and paper towels at each hand sink.
10FOOD-0037,01/31/2017,"(29) PLUMBING: Installed, maintained",Drain for back hand wash sink is disconnected from the sink basin. Have drain repaired.
12FOOD-0016,01/31/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. No FSSMC is associated with the facility. Provide proof of completion of. FSSMC course within 90 days. Information for enrolling can be found here: http://www.cityofevanston.org/health/food-service-manager-certification/
12FOOD-0016,01/31/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The discharge line to the 3-compartment is soiled. Routinely clean every surface.
12FOOD-0016,01/31/2017,"(29) PLUMBING: Installed, maintained",The faucet to the 3-compartment sink is leaking. Repair the leak. The discharge plumbing to the 2nd compartment is leaking. Repair the leak.
10FOOD-0037,01/31/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Paper towels and soap is missing from back hand wash sink. Provide soap and paper towels as soon as possible.
10FOOD-0037,01/31/2017,(38) LIGHTING: Provided as required; fixtures shielded.,The light in the walk-in cooler does not work. Have the light repaired.
12FOOD-0016,01/31/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The ceiling tiles above the prep area are soiled. Routinely clean all surfaces.
09FOOD-0171,02/01/2017,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Windex is being stored next to food. Store all chemicals in a designated area away from food and food utensils.
09FOOD-0171,02/01/2017,(38) LIGHTING: Provided as required; fixtures shielded.,The lights in the back room are not shielded. Install a shield or use shatter proof bulbs.
09FOOD-0171,02/01/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Ceiling tiles are missing in the back room. Install the missing tiles.
14FOOD-0048,02/01/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The ceiling near the kitchen exit is leaking. The building manager is | in the process of repairing the leak.
09FOOD-0154,02/01/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The wall above the 3-compartment sink is in disrepair. Repair the damage.
14FOOD-0027,02/01/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Food debris under shelves and small amount of food splatter on walls. Clean.
09FOOD-0154,02/01/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. The FSSMC on site is expired. Provide an up to date FSSMC within 90 days. http://www.cityofevanston.org/health/food-service-manager-certification/
09FOOD-0154,02/01/2017,(38) LIGHTING: Provided as required; fixtures shielded.,The lights in the back room are not covered. Install a shield | or use shatter proof bulbs.
14FOOD-0027,02/01/2017,(2) FOOD: Original Container; properly labeled.,Spray bottle is improperly labeled. Ensure all spray bottles are accurately labeled.
09FOOD-0171,02/01/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. The FSSMC on site is expired. Provide an up to date FSSMC within 90 days.
14FOOD-0048,02/01/2017,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",The front storage closet and under the front counter is cluttered. Properly organize the areas to be able to properly clean.
09FOOD-0171,02/01/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The inside of the cabinets along the wall behind the food display and register are soiled. Routinely clean all surfaces.
09FOOD-0171,02/01/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",To go containers are stored improperly. Store the containers upside to prevent debris contamination.
14FOOD-0027,02/01/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Soap is missing from hand wash sink next to 3 compartment sink. Paper towels missing from hand wash sink in bathroom. Provide soap and paper towels immediately.
09FOOD-0171,02/01/2017,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Garbage is sitting in the middle of the floor in the back room. Immediately place the garbage in the dumpster.
14FOOD-0048,02/01/2017,"(29) PLUMBING: Installed, maintained",The drain to the bathroom hand sink is clogged. Contact a licensed plumber to unclog.
16FOOD-0010,02/02/2017,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,The ice scoop is being stored submerged in the ice. Store the scoop with the handle sticking out of the ice or in a separate container.
09FOOD-0289,02/02/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Package of raw chicken stored next to water bottles and box of fruit. Store the raw chicken separate from ready to eat foods.
16FOOD-0010,02/02/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. A container of half and half is being stored in a beer cooler at 47 F. The product was discarded.
16FOOD-0023,02/03/2017,"(17) FOOD EQUIPMENT AND UTENSILS: Accurate thermometers, chemical test kits provided; gauge cock.",No chemical test kit is on site. Obtain a test kit to accurately measure the sanitizer concentration.
16FOOD-0023,02/03/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",There is debris blocking the floor drain to the prep sink in the front wait staff area. Remove the debris.
16FOOD-0023,02/03/2017,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,The ice scoop is being stored improperly in the front ice machine. Store with the handle sticking out of the ice or in another clean container.
16FOOD-0023,02/03/2017,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",No certification is shown on the ice block maker in the basement. Provide spec sheets for the equipment.
16FOOD-0023,02/03/2017,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. There is no sanitizer to the dish machine. Contact a contractor to repair.
16FOOD-0023,02/03/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",Protective plastic covering used during shipping is still on the top of the cook line cooler upper counter. Remove the plastic.
16FOOD-0039,02/06/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor in the dry storage room is unapproved. Remove the carpet.
16FOOD-0039,02/06/2017,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Cleaning chemicals are being stored among food. Store the chemicals in a designated away from food and utensils.
09FOOD-0322,02/06/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The under cabinets containing the soda lines are soiled. Immediately clean up any spills. The baseboard under the 3-compartment sink is in disrepair causing the lower wall panel to become unfastened. Repair the wall and install the missing baseboard.
09FOOD-0322,02/06/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The counter under the cooler top in the kitchen is soiled. Routinely clean all surfaces.
16FOOD-0039,02/06/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The ceiling in the dry storage room is made of an unapproved surface. Replace the ceiling with a surface that is nonabsorbent and easily cleanable.
16FOOD-0039,02/06/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",There are gaps between counter tops and walls. Seal all the openings.
15FOOD-0040,02/07/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",The surface under the microwave is porous. Replace with a non absorbent material that is easily cleanable.
09FOOD-0170,02/08/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wipe cloths are being stored on prep surfaces. Store the wipe cloths in a sanitizer bucket when not in use.
09FOOD-0405,02/08/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Soap is missing from the hand wash sink. Please provide immediately.
09FOOD-0170,02/08/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The ceiling tiles in the kitchen are heavily soiled and unable to be cleaned. Replace all the ceiling tiles within 90 days. The ceiling panel above the mop sink is in disrepair. Refasten the ceiling panel. The ceiling vent near the mop sink is heavily soiled. Clean the vent.
09FOOD-0170,02/08/2017,"(29) PLUMBING: Installed, maintained",The discharge plumbing to the bar 3-compartment sink is leaking. Repair the leak.
08FOOD-0180,02/08/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. No FSSMC is on site. Email me a copy of the certificate.
09FOOD-0363,02/07/2017,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Under the front counter is cluttered. Organize.
09FOOD-0170,02/08/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The surface under the microwave is soiled. Routinely clean all surfaces.
09FOOD-0170,02/08/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The baseboard under the 3-compartment sink is damaged and there is a hole in the wall. Seal the hole and replace the missing baseboard. The floor under the cook equipment is soiled. Routinely clean all floors.
09FOOD-0170,02/08/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Raw potentially hazardous food is being stored above produce in the walk in cooler. Store all raw food on the bottom shelf. Take out containers are being stored improperly. Store the containers upside down to prevent debris from falling in.
09FOOD-0170,02/08/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",Soiled cardboard is being used as a shim under the cook line cooler. Remove the cardboard.
08FOOD-0180,02/08/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",There is a gap where the wall and ceiling panel meet on the mop sink. Seal the gap.
09FOOD-0170,02/08/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Numerous utility lines |  electrical lines/plugs |  and decoration are soiled. Routinely clean all surfaces.
09FOOD-0274,02/09/2017,"(29) PLUMBING: Installed, maintained",Hand sink in dish wash room has a leak. Have plumbing repaired.
09FOOD-0274,02/09/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Soda dispenser nozzles have a slight residue. Clean and sanitize the nozzles.
09FOOD-0166,02/13/2017,(2) FOOD: Original Container; properly labeled.,Sugar container is missing a label. Provide a label on the main container instead of the lid.
09FOOD-0029,02/13/2017,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,The rice scoop is being stored in stagnant water. Store the scoop in the rice with the handle sticking up or I a clean dry container that is cleaned at least every 4 hours.
09FOOD-0029,02/13/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The stainless steel container holding a knife sharpener on the cook line is soiled. Clean routinely.
09FOOD-0166,02/13/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floors are soiled under shelves. Clean.
09FOOD-0166,02/13/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Shelves above pizza prep cooler are soiled with dust and food debris. Clean.
09FOOD-0029,02/13/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor under the 3-compartment sink in the bar is soiled. Routinely clean all floors. The floor under the deep fryer is soiled. Routinely clean all floors.
09FOOD-0029,02/13/2017,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",The plastic film is still on the deep fryer. Remove the film.
09FOOD-0166,02/13/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Food containers stored on floor in the walk in cooler. Move containers to a shelf that is at least 6 inches above the floor.
09FOOD-0182,02/15/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Surface of 3 compartment sink is soiled. Scrub |  wash |  rinse and sanitize the surface to ensure the residue is removed. Follow this practice on a daily basis.
09FOOD-0182,02/15/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Paper towels missing from hand wash sinks. Ensure paper towels are always available. This was corrected during the inspection.
